Attributes,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
Symbols,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD,BBCA.JK,BBRI.JK,BTC-USD
Date,,,,,,,,,,,,,,,,,,
2018-01-29,4227.296875,3256.73583984375,11296.400390625,4560.0,3800.0,11296.400390625,4565.0,3850.0,11875.599609375,4510.0,3760.0,11179.2001953125,4560.0,3850.0,11755.5,114814500.0,122622900.0,7107359744
2018-01-30,4227.296875,3188.173095703125,10106.2998046875,4560.0,3720.0,10106.2998046875,4690.0,3800.0,11307.2001953125,4530.0,3710.0,10036.2001953125,4540.0,3800.0,11306.7998046875,114055000.0,179332000.0,8637859840
2018-01-31,4213.390625,3171.031982421875,10221.099609375,4545.0,3700.0,10221.099609375,4580.0,3720.0,10381.599609375,4540.0,3630.0,9777.419921875,4560.0,3700.0,10108.2001953125,106803000.0,263207500.0,8041160192
2018-02-01,4333.90673828125,3171.031982421875,9170.5400390625,4675.0,3700.0,9170.5400390625,4685.0,3760.0,10288.7998046875,4570.0,3700.0,8812.2802734375,4570.0,3730.0,10237.2998046875,138208000.0,145586000.0,9959400448
2018-02-02,4445.150390625,3205.3134765625,8830.75,4795.0,3740.0,8830.75,4940.0,3750.0,9142.2802734375,4720.0,3710.0,7796.490234375,4725.0,3740.0,9142.2802734375,98474000.0,114113200.0,12726899712
2018-02-03,,,9174.91015625,,,9174.91015625,,,9430.75,,,8251.6298828125,,,8852.1201171875,,,7263790080
2018-02-04,,,8277.009765625,,,8277.009765625,,,9334.8701171875,,,8031.22021484375,,,9175.7001953125,,,7073549824
2018-02-05,4412.7041015625,3239.5947265625,6955.27001953125,4760.0,3780.0,6955.27001953125,4805.0,3790.0,8364.83984375,4700.0,3650.0,6756.68017578125,4750.0,3650.0,8270.5400390625,49501500.0,112677000.0,9285289984
2018-02-06,4361.71728515625,3153.891357421875,7754.0,4705.0,3680.0,7754.0,4735.0,3720.0,7850.7001953125,4660.0,3660.0,6048.259765625,4690.0,3690.0,7051.75,117589500.0,260283000.0,13999800320
2018-02-07,4357.08203125,3171.031982421875,7621.2998046875,4700.0,3700.0,7621.2998046875,4795.0,3750.0,8509.1103515625,4695.0,3700.0,7236.7900390625,4730.0,3710.0,7755.490234375,121947000.0,137926500.0,9169280000
